"","X","Y","NE_ID","LONGITUDE","LATITUDE","geometry","lon_diff","lat_diff"
"5351",44.0066751,36.1809895,1159147267,44.008621,36.179044,c(44.0066751118283, 36.1809894570816),1,1
"5427",-85.7506501,38.2269628,1159147439,-85.748704,38.225017,c(-85.7506501246934, 38.2269627643814),1,1
"5429",-80.8319839,35.2069404,1159147443,-80.830038,35.204995,c(-80.8319839462883, 35.2069403848119),1,1
"5433",-82.9919555,39.9819202,1159147453,-82.99001,39.979974,c(-82.9919554632241, 39.9819202432293),1,1
"5444",-67.597753,10.2488256,1159147477,-67.595807,10.24688,c(-67.5977529892041, 10.248825557238),1,1
"5450",42.951029,14.7998914,1159147491,42.952975,14.797946,c(42.9510289529698, 14.7998914345349),1,1
"5503",-48.8418952,-26.3180122,1159147609,-48.839949,-26.319958,c(-48.8418952417334, -26.3180122114629),1,1
"5508",-40.3679422,-20.3220474,1159147621,-40.365996,-20.323993,c(-40.3679421980796, -20.3220474490691),1,1
"5509",-34.878017,-7.0991893,1159147623,-34.876071,-7.101135,c(-34.8780170250502, -7.09918927092542),1,1
"5545",4.4130712,51.2223194,1159147705,4.415017,51.220374,c(4.41307118914386, 51.2223194131962),1,1
"5551",30.6980301,36.891928,1159147717,30.699976,36.889982,c(30.6980300922438, 36.8919279743367),1,1
"5609",37.3830484,37.0769296,1159147849,37.384994,37.074984,c(37.3830484028173, 37.0769296019417),1,1
"5619",36.7180761,34.7319048,1159147871,36.720022,34.729959,c(36.7180760720856, 34.7319047809689),1,1
"5771",4.54805,8.4919561,1159148213,4.549996,8.49001,c(4.5480500302902, 8.49195605039529),1,1
"5773",7.7080639,11.0819272,1159148217,7.71001,11.079981,c(7.7080638649382, 11.0819271604315),1,1
"5776",19.4494144,51.7769367,1159148225,19.45136,51.774991,c(19.4494143695425, 51.7769367227687),1,1
"5796",101.4230671,0.5669101,1159148269,101.425013,0.564964,c(101.423067120521, 0.566910070545646),1,1
"5820",118.7533319,30.9544459,1159148323,118.755278,30.9525,c(118.753331941387, 30.9544458586129),1,1
"5821",113.5658319,22.2788903,1159148325,113.567778,22.276944,c(113.565831941387, 22.2788902586129),1,1
"5844",106.7480651,-6.5680549,1159148377,106.750011,-6.570001,c(106.748065086038, -6.56805493599319),1,1
"5857",-71.2309424,18.8089489,1159148407,-71.228997,18.807003,c(-71.2309424294729, 18.808948916577),1,1
"5877",6.9480586,50.9319495,1159148451,6.950004,50.930004,c(6.94805857522164, 50.9319495401483),1,1
"5879",108.7127763,34.3475015,1159148455,108.714722,34.345556,c(108.712776341387, 34.3475014586131),1,1
"5880",112.1280985,32.021941,1159148459,112.130044,32.019995,c(112.128098451945, 32.0219409951507),1,1
"5881",105.5313874,30.5352792,1159148461,105.533333,30.533333,c(105.531387441387, 30.535279158613),1,1
"5882",119.3991652,41.2419459,1159148463,119.401111,41.24,c(119.399165241387, 41.241945858613),1,1
"5884",114.3980541,27.8352792,1159148467,114.4,27.833333,c(114.398054141387, 27.8352791586129),1,1
"5885",120.1233319,33.3875015,1159148469,120.125278,33.385556,c(120.123331941387, 33.3875014586131),1,1
"5886",119.9499985,30.0552792,1159148471,119.951944,30.053333,c(119.949998541387, 30.0552791586129),1,1
"5902",-1.6319603,6.6919367,1159148507,-1.630014,6.689991,c(-1.63196034571121, 6.69193672258848),1,1
"5953",35.8680504,34.4219495,1159148623,35.869996,34.420004,c(35.8680504373164, 34.4219495400821),1,1
"5975",50.9480602,34.6519613,1159148671,50.950006,34.650015,c(50.9480602030018, 34.6519613402132),1,1
"5979",47.0580651,34.381952,1159148681,47.060011,34.380006,c(47.0580650857987, 34.3819519814882),1,1
"5994",-68.7688265,-11.0205201,1159148715,-68.733309,-11.033346,c(-68.7688265040745, -11.0205200754107),2,2
"6110",-46.3348885,-23.9517781,1159148975,-46.332943,-23.953724,c(-46.3348885150959, -23.9517780748548),1,1
"6165",-159.7854367,-21.1962256,1159149099,-159.750001,-21.250035,c(-159.785436712348, -21.1962255889848),2,2
"6171",-117.3019801,34.1223296,1159149113,-117.300034,34.120384,c(-117.301980080874, 34.1223295856538),1,1
"6172",-73.201907,41.1819245,1159149115,-73.199961,41.179979,c(-73.2019070419611, 41.1819245156953),1,1
